"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C7";"CAPC2012X140N";1;"CL21B106KOQNNNE";;;
2;"C1,C5,C2,C3,C4";"CAPC2012X140N";5;"CL21B106KOQNNNE";;;
3;"R2,R4,R3,R1,R5";"ERJP06D1000V";5;"ERJP06F1002V";;;
4;"S2,S1,S5,S3,S4";"B3F1000";5;"B3F-1050";;;
5;"C6";"GRM31x";1;"GRM31CR61A107MEA8L";;;
6;"Q1";"SOT95P237X112-3N";1;"SI2301CDS-T1-GE3.";;;
7;"J2";"SM04B-GHS-TB";1;"SM04B-GHS-TB_LF__SN_";;;
8;"TP1";"TestPoint_Pad_2.0x2.0mm";1;"TestPoint";;;
9;"J1";"DIPS762W61P254L1016H525Q8N";1;"A_08-LC-TT";;;
10;"LED1";"LEDC2012X70N";1;"150080RS75000";;;
11;"IC1";"SOT229P700X180-4N";1;"AMS1117-5.0";;;
12;"R6";"ERJ6ENF1000V";1;"ERJ-6ENF2200V";;;
